Time (UTC), Frequency (MHz),Level (dB/Hz)
1433497355.0, 87.0, -49.1670776032
1433497355.0, 87.001953125, -49.1596993397
1433497355.0, 87.00390625, -49.1527540717
1433497355.0, 87.005859375, -49.1459763357
1433497355.0, 87.0078125, -49.1395117087
1433497355.0, 87.009765625, -49.131945124
1433497355.0, 87.01171875, -49.1255675061
1433497355.0, 87.013671875, -49.1188224121
1433497355.0, 87.015625, -49.1120708127
1433497355.0, 87.017578125, -49.1064941966
1433497355.0, 87.01953125, -49.0999533546
1433497355.0, 87.021484375, -49.0933972648
1433497355.0, 87.0234375, -49.0874308992
1433497355.0, 87.025390625, -49.0821680199
1433497355.0, 87.02734375, -49.0770248963
1433497355.0, 87.029296875, -49.0712445708
1433497355.0, 87.03125, -49.0655681438
1433497355.0, 87.033203125, -49.0606963387
1433497355.0, 87.03515625, -49.0570674453
1433497355.0, 87.037109375, -49.0537720546
1433497355.0, 87.0390625, -49.0505548702
1433497355.0, 87.041015625, -49.047141149
1433497355.0, 87.04296875, -49.0439088804
1433497355.0, 87.044921875, -49.0410174398
1433497355.0, 87.046875, -49.0386809716
1433497355.0, 87.048828125, -49.0364536874
1433497355.0, 87.05078125, -49.0340648743
1433497355.0, 87.052734375, -49.0321280099
1433497355.0, 87.0546875, -49.0308710149
1433497355.0, 87.056640625, -49.0299882339
1433497355.0, 87.05859375, -49.0289575269
1433497355.0, 87.060546875, -49.0284111744
1433497355.0, 87.0625, -49.0280090647
1433497355.0, 87.064453125, -49.0277313938
1433497355.0, 87.06640625, -49.0276807218
1433497355.0, 87.068359375, -49.027503368
1433497355.0, 87.0703125, -49.027739554
1433497355.0, 87.072265625, -49.0283346918
1433497355.0, 87.07421875, -49.0291353511
1433497355.0, 87.076171875, -49.0301086455
1433497355.0, 87.078125, -49.0310030411
1433497355.0, 87.080078125, -49.0325199445
1433497355.0, 87.08203125, -49.0340275894
1433497355.0, 87.083984375, -49.0354325226
1433497355.0, 87.0859375, -49.0368699063
1433497355.0, 87.087890625, -49.0389340569
1433497355.0, 87.08984375, -49.0412632596
1433497355.0, 87.091796875, -49.0431600658
1433497355.0, 87.09375, -49.0446930308
1433497355.0, 87.095703125, -49.0462531667
1433497355.0, 87.09765625, -49.0480070456
1433497355.0, 87.099609375, -49.0495312146
